env,method,run,unit,initial_score,best_score,best_iteration,last_score,iterations,first_solved_iteration,solved,threshold,normalized_initial,normalized_best
env_001,w/o HEP,runs/env_001/ablation_unconstrained_v4,seed_3,-10.164050177467391,59.17899346789178,10,59.17899346789178,10,,False,200.0,-0.05082025088733696,0.2958949673394589
env_001,w/o HEP,runs/env_001/ablation_unconstrained_v4,seed_4,-101.8923409042886,140.26991344165694,4,-82.8413220378687,10,,False,200.0,-0.509461704521443,0.7013495672082847
env_002,Chat + Env Card,runs/env_002/test_chat_with_env_card,seed_0,286.8257385472024,286.8257385472024,1,286.8257385472024,1,,False,300.0,0.9560857951573413,0.9560857951573413
env_002,Chat Direct,runs/env_002/ablation_direct_no_expert_v3_chat,seed_0,-59.75793625114143,-59.75793625114143,1,-59.75793625114143,1,,False,300.0,-0.1991931208371381,-0.1991931208371381
env_002,DERES,runs/env_002/paper_bipedal_main_v1,seed_0,270.71377030226967,320.0204030658189,4,320.0204030658189,4,2.0,True,300.0,0.9023792343408988,1.066734676886063
env_002,DERES,runs/env_002/paper_bipedal_main_v1,seed_1,280.5001837574677,313.7305939945505,3,294.4353031500782,4,2.0,True,300.0,0.9350006125248924,1.0457686466485017
env_002,DERES,runs/env_002/paper_bipedal_main_v1,seed_2,272.072088629938,307.91735923071144,2,281.78107674641865,3,2.0,True,300.0,0.9069069620997933,1.0263911974357047
env_002,DERES,runs/env_002/paper_bipedal_main_v1,seed_3,289.98732504782697,311.1235479918302,2,268.707813119931,3,2.0,True,300.0,0.9666244168260899,1.0370784933061008
env_002,DERES,runs/env_002/paper_bipedal_main_v1,seed_4,103.02723190381354,304.92495813051283,3,291.4081068948299,4,3.0,True,300.0,0.34342410634604514,1.0164165271017094
env_002,DeepSeek Direct,runs/env_002/ablation_direct_no_expert_v2,seed_0,311.32626479141794,311.32626479141794,1,311.32626479141794,1,1.0,True,300.0,1.037754215971393,1.037754215971393
env_002,Direct No Env Card,runs/env_002/ablation_direct_no_env_card_v1,seed_0,286.1193696204249,286.1193696204249,1,286.1193696204249,1,,False,300.0,0.953731232068083,0.953731232068083
env_002,No Expert Profile,runs/env_002/ablation_no_expert_profile_v1,seed_0,294.25601602159367,294.25601602159367,1,294.25601602159367,1,,False,300.0,0.9808533867386455,0.9808533867386455
env_002,No Expert Profile,runs/env_002/ablation_no_expert_profile_v1,seed_1,258.87292677262656,258.87292677262656,1,258.87292677262656,1,,False,300.0,0.8629097559087552,0.8629097559087552
env_002,No Expert Profile,runs/env_002/ablation_no_expert_profile_v1,seed_2,297.56691620685433,297.56691620685433,1,297.56691620685433,1,,False,300.0,0.9918897206895144,0.9918897206895144
env_002,No Expert Profile,runs/env_002/ablation_no_expert_profile_v1,seed_3,304.8817092005249,304.8817092005249,1,304.8817092005249,1,1.0,True,300.0,1.0162723640017497,1.0162723640017497
env_005,DERES,runs/env_005/paper_ant_v7,seed_0,-12.04,1414.47,8,10.13,10,,False,2000.0,-0.006019999999999999,0.7072350000000001
env_005,DERES,runs/env_005/paper_ant_v7,seed_1,2.91,2.91,1,2.91,1,,False,2000.0,0.0014550000000000001,0.0014550000000000001
