env,method,run,seed,sample,iteration,component,episode_sum_mean,episode_abs_sum_mean,signed_contribution_share,magnitude_share,active_rate
env_001,DERES,runs/env_001/paper_v4,2.0,,3,soft_landing_velocity,-0.408948484080162,0.408948484080162,-0.00027555137158289495,0.00027555137158289495,0.9997833856817936
env_001,DERES,runs/env_001/paper_v4,2.0,,3,stable_orientation,-1.723191746791666,1.723191746791666,-0.0011610945334515352,0.0011610945334515352,1.0
env_001,DERES,runs/env_001/paper_v4,3.0,,1,contact_bonus,0.34548259489238264,0.34548259489238264,0.002086299758916874,0.002086299758916874,0.0268370607028754
env_001,DERES,runs/env_001/paper_v4,3.0,,1,orientation_penalty,-0.6113216958442035,0.6113216958442035,-0.0036916485099855803,0.0036916485099855803,1.0
env_001,DERES,runs/env_001/paper_v4,3.0,,1,proximity,-153.49867245212664,153.49867245212664,-0.926947545449251,0.926947545449251,1.0
env_001,DERES,runs/env_001/paper_v4,3.0,,1,velocity_penalty,-11.140379468970787,11.140379468970787,-0.06727450628184656,0.06727450628184656,0.9987220447284345
env_001,DERES,runs/env_001/paper_v4,3.0,,2,contact_bonus,367.9667349636555,367.9667349636555,0.9589234447198618,0.9589234447198618,0.76245
env_001,DERES,runs/env_001/paper_v4,3.0,,2,orientation_penalty,-4.014123522318365,4.014123522318365,-0.010460829172323811,0.010460829172323811,1.0
env_001,DERES,runs/env_001/paper_v4,3.0,,2,progress,7.041011327186425,7.274344936576381,0.018348916341157998,0.01895698508005429,1.0
env_001,DERES,runs/env_001/paper_v4,3.0,,2,velocity_penalty,-4.473797041248697,4.473797041248697,-0.01165874102776018,0.01165874102776018,1.0
env_001,DERES,runs/env_001/paper_v4,3.0,,3,orientation_penalty,-2.0408244123628987,2.0408244123628987,-0.16515912365105576,0.16515912365105576,1.0
env_001,DERES,runs/env_001/paper_v4,3.0,,3,progress,6.258317444473505,7.164319023489952,0.506470923416003,0.5797915020558773,1.0
env_001,DERES,runs/env_001/paper_v4,3.0,,3,settling_quality,0.0,0.0,0.0,0.0,0.0
env_001,DERES,runs/env_001/paper_v4,3.0,,3,velocity_penalty,-3.151572725191353,3.151572725191353,-0.255049374293067,0.255049374293067,1.0
env_001,DERES,runs/env_001/paper_v4,3.0,,4,landing_reward,35.08690886497497,35.08690886497497,0.7388321947029493,0.7388321947029493,0.1128141397404032
env_001,DERES,runs/env_001/paper_v4,3.0,,4,orientation_penalty,-1.9018765796035246,1.9018765796035246,-0.04004820295712341,0.04004820295712341,1.0
env_001,DERES,runs/env_001/paper_v4,3.0,,4,progress,6.9480972791614475,7.0819636449741665,0.14630750122581662,0.1491263525880422,0.9592653962993648
env_001,DERES,runs/env_001/paper_v4,3.0,,4,velocity_penalty,-3.4189368181950663,3.4189368181950663,-0.07199324975188523,0.07199324975188523,0.9661695664181166
env_001,DERES,runs/env_001/paper_v4,3.0,,5,engine_penalty,-17.027500000000106,17.027500000000106,-0.2688968929479974,0.2688968929479974,0.9084967320261438
env_001,DERES,runs/env_001/paper_v4,3.0,,5,landing_reward,33.129554082453254,33.129554082453254,0.5231792193524749,0.5231792193524749,0.10871015072695744
env_001,DERES,runs/env_001/paper_v4,3.0,,5,orientation_penalty,-2.522049273694371,2.522049273694371,-0.039827996685254184,0.039827996685254184,1.0
env_001,DERES,runs/env_001/paper_v4,3.0,,5,progress,6.9097460409451745,7.039832339802524,0.10911814661399923,0.11117245884878682,0.9623849539815926
env_001,DERES,runs/env_001/paper_v4,3.0,,5,velocity_penalty,-3.6045925654681263,3.6045925654681263,-0.056923432165486655,0.056923432165486655,0.9681205815659597
env_001,DERES,runs/env_001/paper_v4,3.0,,6,engine_penalty,-1.3962499999999893,1.3962499999999893,-0.013650410811569725,0.013650410811569725,0.6804337231968811
env_001,DERES,runs/env_001/paper_v4,3.0,,6,landing_reward,85.6339345432818,85.6339345432818,0.8371984858921231,0.8371984858921231,0.5017056530214425
env_001,DERES,runs/env_001/paper_v4,3.0,,6,orientation_penalty,-2.714379183732324,2.714379183732324,-0.026537074991097444,0.026537074991097444,1.0
env_001,DERES,runs/env_001/paper_v4,3.0,,6,progress,6.777172981628974,6.9768921782189866,0.06625689907989764,0.06820944989845473,0.9752680311890838
env_001,DERES,runs/env_001/paper_v4,3.0,,6,velocity_penalty,-5.564842966927213,5.564842966927213,-0.054404578406754917,0.054404578406754917,0.9791666666666666
env_001,DERES,runs/env_001/paper_v4,4.0,,1,fuel_penalty,-18.852999999999685,18.852999999999685,-0.0681370959319104,0.0681370959319104,0.94265
env_001,DERES,runs/env_001/paper_v4,4.0,,1,progress_reward,2.7076487660291604,2.979278261185391,0.009785780709746502,0.010767483620126642,0.99995
env_001,DERES,runs/env_001/paper_v4,4.0,,1,safe_contact_bonus,250.15179656147956,250.15179656147956,0.9040798260144036,0.9040798260144036,0.7369
env_001,DERES,runs/env_001/paper_v4,4.0,,1,stability_penalty,-4.708081515191973,4.708081515191973,-0.017015594433559374,0.017015594433559374,1.0
env_001,DERES,runs/env_001/paper_v4,4.0,,2,fuel_penalty,-13.952999999999792,13.952999999999792,-0.025557578853628783,0.025557578853628783,0.7690569365595546
env_001,DERES,runs/env_001/paper_v4,4.0,,2,progress_reward,2.6728190209454623,3.2754746815160614,0.0048957774592771125,0.005999656163972809,0.9974094692167779
